n,size,total,comm,comp
512,80,0.217755,0.213320,0.004429
n,size,total,comm,comp
512,80,0.227609,0.221771,0.005831
n,size,total,comm,comp
512,80,0.270569,0.266373,0.004192
n,size,total,comm,comp
512,80,0.217017,0.208257,0.008754
n,size,total,comm,comp
512,80,0.230644,0.226336,0.004303
n,size,total,comm,comp
1024,80,0.329686,0.233285,0.096375
n,size,total,comm,comp
1024,80,0.371243,0.274751,0.096472
n,size,total,comm,comp
1024,80,0.387187,0.297455,0.089712
n,size,total,comm,comp
1024,80,0.358157,0.262306,0.095826
n,size,total,comm,comp
1024,80,0.357793,0.277007,0.080763
n,size,total,comm,comp
2048,80,4.247173,1.818923,2.428213
n,size,total,comm,comp
2048,80,4.353516,1.956626,2.396849
n,size,total,comm,comp
2048,80,4.436354,2.063540,2.372775
n,size,total,comm,comp
2048,80,4.135668,1.651663,2.483970
n,size,total,comm,comp
2048,80,4.315938,2.007290,2.308612
n,size,total,comm,comp
4096,80,25.976552,2.697514,23.278982
n,size,total,comm,comp
4096,80,26.018392,3.093175,22.925159
n,size,total,comm,comp
4096,80,26.203336,2.195060,24.008225
n,size,total,comm,comp
4096,80,26.252605,2.426179,23.826367
n,size,total,comm,comp
4096,80,26.154030,2.207324,23.946663
