n,size,total,comm,comp
512,40,0.034480,0.014108,0.020364
n,size,total,comm,comp
512,40,0.034815,0.016861,0.017946
n,size,total,comm,comp
512,40,0.050120,0.029814,0.020299
n,size,total,comm,comp
512,40,0.034862,0.019133,0.015723
n,size,total,comm,comp
512,40,0.034354,0.017275,0.017064
n,size,total,comm,comp
1024,40,0.236509,0.042329,0.194152
n,size,total,comm,comp
1024,40,0.235443,0.037105,0.198311
n,size,total,comm,comp
1024,40,0.237573,0.040946,0.196595
n,size,total,comm,comp
1024,40,0.237721,0.044250,0.193446
n,size,total,comm,comp
1024,40,0.242025,0.039159,0.202838
n,size,total,comm,comp
2048,40,5.414838,0.447778,4.967009
n,size,total,comm,comp
2048,40,5.181107,0.258019,4.923014
n,size,total,comm,comp
2048,40,5.406777,0.527753,4.878977
n,size,total,comm,comp
2048,40,5.154868,0.339942,4.814872
n,size,total,comm,comp
2048,40,5.062762,0.155878,4.906821
n,size,total,comm,comp
4096,40,48.890569,2.704453,46.186038
n,size,total,comm,comp
4096,40,46.850093,0.530541,46.319476
n,size,total,comm,comp
4096,40,46.992968,0.667883,46.325016
n,size,total,comm,comp
4096,40,54.372147,8.849150,45.522948
n,size,total,comm,comp
4096,40,48.913050,2.461199,46.451761
