algorithm,nodes,n,size,total_time,comm_time,comp_time
mpi_p2p_bloq,2,512,80,0.227609,0.221771,0.005831
mpi_p2p_bloq,2,512,80,0.270569,0.266373,0.004192
mpi_p2p_bloq,2,512,80,0.217017,0.208257,0.008754
mpi_p2p_bloq,2,512,80,0.230644,0.226336,0.004303
mpi_p2p_bloq,2,1024,80,0.329686,0.233285,0.096375
mpi_p2p_bloq,2,1024,80,0.371243,0.274751,0.096472
mpi_p2p_bloq,2,1024,80,0.387187,0.297455,0.089712
mpi_p2p_bloq,2,1024,80,0.358157,0.262306,0.095826
mpi_p2p_bloq,2,1024,80,0.357793,0.277007,0.080763
mpi_p2p_bloq,2,2048,80,4.247173,1.818923,2.428213
mpi_p2p_bloq,2,2048,80,4.353516,1.956626,2.396849
mpi_p2p_bloq,2,2048,80,4.436354,2.063540,2.372775
mpi_p2p_bloq,2,2048,80,4.135668,1.651663,2.483970
mpi_p2p_bloq,2,2048,80,4.315938,2.007290,2.308612
mpi_p2p_bloq,2,4096,80,25.976552,2.697514,23.278982
mpi_p2p_bloq,2,4096,80,26.018392,3.093175,22.925159
mpi_p2p_bloq,2,4096,80,26.203336,2.195060,24.008225
mpi_p2p_bloq,2,4096,80,26.252605,2.426179,23.826367
mpi_p2p_bloq,2,4096,80,26.154030,2.207324,23.946663
mpi_p2p_bloq,3,512,120,0.438669,0.435852,0.002812
mpi_p2p_bloq,3,512,120,0.380539,0.377730,0.002804
mpi_p2p_bloq,3,512,120,0.383836,0.380659,0.003171
mpi_p2p_bloq,3,512,120,0.375349,0.372315,0.003029
mpi_p2p_bloq,3,512,120,0.360698,0.356671,0.004022
mpi_p2p_bloq,3,1024,120,0.464745,0.406903,0.057825
mpi_p2p_bloq,3,1024,120,0.477892,0.413292,0.064577
mpi_p2p_bloq,3,1024,120,0.468126,0.431623,0.036481
mpi_p2p_bloq,3,1024,120,0.472071,0.410182,0.061867
mpi_p2p_bloq,3,1024,120,0.482354,0.430933,0.051398
mpi_p2p_bloq,3,2048,120,4.059666,2.491977,1.567655
mpi_p2p_bloq,3,2048,120,3.853593,2.251313,1.602249
mpi_p2p_bloq,3,2048,120,3.988608,2.331523,1.657050
mpi_p2p_bloq,3,2048,120,3.929078,2.281309,1.647737
mpi_p2p_bloq,3,2048,120,4.004715,2.418861,1.585820
mpi_p2p_bloq,3,4096,120,18.945894,3.445387,15.500441
mpi_p2p_bloq,3,4096,120,19.093922,3.853184,15.240693
mpi_p2p_bloq,3,4096,120,19.434853,3.339107,16.095700
mpi_p2p_bloq,3,4096,120,18.742515,3.120355,15.622081
mpi_p2p_bloq,3,4096,120,18.629972,2.575984,16.053937
